Sample.ID,Plant.ID,SpCode,LatinName,Layer,Life.Form,Harvest.Date,Processing.Date,Site,GPS.lat,GPS.long,Canopy,Rocks,Slope,Humus.depth,Reprod.stage,Veg.Ht,Reprod.Ht,Root.Loca,Min.Root.Loca,Max.Root.Loca,Storage.Organ,Nb.leaves,Nb.leaflets,Leaf.tot.area(cm2),Leaf.tot.wet.weight(g),Leaf.tot.dry.weight(g),Petiol.wet.weight(g),Petiol.dry.weight(g),Support.dry.weight(g),Reprod.dry.weight(g),Storage.dry.weight(g),Total.dry.weight(g),Lamina.thck(?m),Vein.thck(?m),LMA(g/cm2),LDMC(g/g),Leaf.Area(cm2),Leaf.Mass.Frac,Supp.Mass.Frac,Rep.Mass.Frac,Stor.Mass.Frac,Fine.Root.Diam(mm),SRL(cm/mg),Myc.Frac(sp.average),Note,
443,ACPE1,ACPE,Acer_pennsylvanicum,Understory,Shrub,14-07-2016,15-07-2016,Mont Bellevue,271685,5029759,GapF,yes,midhill,NA,0,5,NA,NA,NA,NA,none,10,NA,947.9,10.8,3.33,1.73,0.38,1.27,0,NA,4.98,96.75,461.56,0.0039,0.296,94.79,0.74,0.26,0,NA,NA,NA,NA,,
445,ACPE2,ACPE,Acer_pennsylvanicum,Understory,Shrub,25-07-2016,26-07-2016,Johnville,285317,5024411,GapM,no,flat,NA,0,356,NA,NA,NA,NA,none,10,NA,1878.7,8.46,2.63,1.17,0.278,1.01,0,NA,3.918,88.5,482,0.0015,0.302,187.87,0.74,0.26,0,NA,NA,NA,NA,,
444,ACPE3,ACPE,Acer_pennsylvanicum,Understory,Shrub,25-07-2016,26-07-2016,Johnville,285188,5024872,GapF,no,flat,NA,0,204,NA,NA,NA,NA,none,14,NA,1003.3,11.4,3.48,2.06,0.447,1.35,0,NA,5.277,91.42,512.89,0.0039,0.292,71.67,0.74,0.26,0,NA,NA,NA,NA,,
455,ACPE4,ACPE,Acer_pennsylvanicum,Understory,Shrub,26-07-2016,27-07-2016,Mont Bellevue,284940,5024750,GapF,no,tophill,NA,0,361,NA,NA,NA,NA,none,8,NA,943.4,11.2,3.51,2.09,0.543,1.44,0,NA,5.493,113.83,693.11,0.0043,0.305,117.93,0.74,0.26,0,NA,NA,NA,NA,,
467,ACPE5,ACPE,Acer_pennsylvanicum,Understory,Shrub,27-07-2016,28-07-2016,Mont Bellevue,271153,5028991,GapF,NA,midhill,NA,0,NA,NA,NA,NA,NA,none,6,NA,948.2,9.3,2.57,1.28,0.258,2.58,0,NA,5.408,68.17,590.11,0.003,0.267,158.03,0.52,0.48,0,NA,NA,NA,NA,,
479,ACPE6,ACPE,Acer_pennsylvanicum,Understory,Shrub,28-07-2016,29-07-2016,Mont Bellevue,271711,5029244,GapF,NA,midhill,NA,0,NA,NA,NA,NA,NA,none,10,NA,1008.8,12.4,3.83,1.39,0.341,1.38,0,NA,5.551,75.42,489,0.0041,0.302,100.88,0.75,0.25,0,NA,NA,NA,NA,,
472,ACPE7,ACPE,Acer_pennsylvanicum,Understory,Shrub,28-07-2016,29-07-2016,Mont Bellevue,271774,5029189,GapF,NA,flat,NA,0,NA,NA,NA,NA,NA,none,8,NA,1066,12.1,3.83,1.78,0.302,0.851,0,NA,4.983,73.92,473.78,0.0039,0.298,133.25,0.83,0.17,0,NA,NA,NA,NA,,
473,ACPE8,ACPE,Acer_pennsylvanicum,Understory,Shrub,28-07-2016,29-07-2016,Mont Bellevue,271774,5029189,GapF,NA,flat,NA,0,NA,NA,NA,NA,NA,none,14,NA,1514.1,23.7,7.93,2.9,0.727,1.76,0,NA,10.417,86.67,326.44,0.0057,0.325,108.15,0.83,0.17,0,NA,NA,NA,NA,,
181,ACRU1,ACRU,Acer_rubrum,Canopy,Tree,06-06-2016,07-06-2016,Johnville,285106,5024358,ClosedM,no,flat,NA,0,NA,NA,NA,NA,NA,none,5,NA,236.7,2.9,1.1,0,0,0.152,0,NA,1.252,123.75,472,0.0046,0.379,47.34,0.88,0.12,0,NA,NA,NA,NA,,
435,ACRU10,ACRU,Acer_rubrum,Canopy,Tree,14-07-2016,15-07-2016,Mont Bellevue,271685,5029759,GapF,yes,flat,NA,0,NA,NA,NA,NA,NA,none,41,NA,1316.3,17.4,7.23,2.92,0.907,1.25,0,NA,9.387,135.67,421.89,0.0062,0.4,32.11,0.87,0.13,0,NA,NA,NA,NA,,
423,ACRU11,ACRU,Acer_rubrum,Canopy,Tree,13-07-2016,14-07-2016,Mont Bellevue,271203,5028980,GapF,NA,tophill,NA,0,NA,NA,NA,NA,NA,none,29,NA,881.4,7.82,2.91,1.64,0.454,1.31,0,NA,4.674,86.83,271.67,0.0038,0.356,30.39,0.72,0.28,0,NA,NA,NA,NA,,
439,ACRU2,ACRU,Acer_rubrum,Canopy,Tree,14-07-2016,15-07-2016,Mont Bellevue,271685,5029759,GapF,yes,midhill,NA,0,NA,NA,NA,NA,NA,none,12,NA,554.7,7.35,3.42,1.14,0.456,2.54,0,NA,6.416,124.92,436.78,0.007,0.457,46.22,0.6,0.4,0,NA,NA,NA,NA,,
440,ACRU3,ACRU,Acer_rubrum,Canopy,Tree,14-07-2016,15-07-2016,Mont Bellevue,271685,5029759,GapF,yes,flat,NA,0,NA,NA,NA,NA,NA,none,16,NA,545,7.09,3.01,1.09,0.377,0.87,0,NA,4.257,105.75,322.22,0.0062,0.414,34.07,0.8,0.2,0,NA,NA,NA,NA,,
466,ACRU4,ACRU,Acer_rubrum,Canopy,Tree,27-07-2016,28-07-2016,Mont Bellevue,271129,5028943,GapF,NA,flat,NA,0,NA,NA,NA,NA,NA,none,48,NA,1925.2,21.4,8.69,4.23,1.38,3.67,0,NA,13.74,86.58,355,0.0052,0.393,40.11,0.73,0.27,0,NA,NA,NA,NA,,
468,ACRU5,ACRU,Acer_rubrum,Canopy,Tree,27-07-2016,28-07-2016,Mont Bellevue,271129,5028943,GapF,NA,flat,NA,0,NA,NA,NA,NA,NA,none,20,NA,1488.7,20,8.03,4.79,1.46,1.89,0,NA,11.38,100.75,403.67,0.0064,0.383,74.44,0.83,0.17,0,NA,NA,NA,NA,,
471,ACRU6,ACRU,Acer_rubrum,Canopy,Tree,27-07-2016,28-07-2016,Mont Bellevue,271129,5028943,GapF,NA,flat,NA,0,NA,NA,NA,NA,NA,none,16,NA,958.9,9.63,4.16,1.5,0.483,1.22,0,NA,5.863,74.33,321.44,0.0048,0.417,59.93,0.79,0.21,0,NA,NA,NA,NA,,
447,ACRU7,ACRU,Acer_rubrum,Canopy,Tree,25-07-2016,26-07-2016,Johnville,285188,5024872,GapF,no,flat,NA,0,NA,NA,NA,NA,NA,none,21,NA,1078,12.8,5.75,2.46,0.763,1.42,0,NA,7.933,101.67,393.44,0.006,0.427,51.33,0.82,0.18,0,NA,NA,NA,NA,,
462,ACRU8,ACRU,Acer_rubrum,Canopy,Tree,26-07-2016,27-07-2016,Mont Bellevue,284608,5024925,GapF,NA,flat,NA,0,NA,NA,NA,NA,NA,none,18,NA,828.3,12.8,6.08,3.51,1.29,1.74,0,NA,9.11,119.92,548.11,0.0089,0.452,46.02,0.81,0.19,0,NA,NA,NA,NA,,
485,ACRU9,ACRU,Acer_rubrum,Canopy,Tree,28-07-2016,29-07-2016,Mont Bellevue,271485,5029365,GapF,NA,flat,NA,0,NA,NA,NA,NA,NA,none,48,NA,1002.9,11.8,4.89,1.97,0.668,1.39,0,NA,6.948,88.42,235.56,0.0055,0.404,20.89,0.8,0.2,0,NA,NA,NA,NA,,
480,ACSA2,ACSA,Acer_saccharum,Canopy,Tree,28-07-2016,29-07-2016,Mont Bellevue,271624,5029273,GapF,NA,flat,NA,0,NA,NA,NA,NA,NA,none,23,NA,1273.5,13.9,6.04,1.98,0.664,1.87,0,NA,8.574,92.25,314.89,0.0053,0.422,55.37,0.78,0.22,0,NA,NA,NA,NA,,
481,ACSA3,ACSA,Acer_saccharum,Canopy,Tree,28-07-2016,29-07-2016,Mont Bellevue,271624,5029273,GapF,NA,flat,NA,0,NA,NA,NA,NA,NA,none,18,NA,865.1,10.5,4.91,1.06,0.418,4.62,0,NA,9.948,89.58,322.89,0.0062,0.461,48.06,0.54,0.46,0,NA,NA,NA,NA,Beaucoup d'insectes galleux,
490,ACSA4,ACSA,Acer_saccharum,Canopy,Tree,01-08-2016,02-08-2016,Mont Bellevue,271898,5029039,GapF,NA,tophill,NA,0,NA,NA,NA,NA,NA,none,56,NA,2109.2,21.5,9.12,2.85,1.09,8.55,0,NA,18.76,101.58,290.11,0.0048,0.419,37.66,0.54,0.46,0,NA,NA,NA,NA,,
487,ACSA5,ACSA,Acer_saccharum,Canopy,Tree,01-08-2016,02-08-2016,Mont Bellevue,271898,5029039,GapF,NA,flat,NA,0,NA,NA,NA,NA,NA,none,52,NA,3208.5,33.7,17,5.25,2.18,8.25,0,NA,27.43,59.58,247.67,0.006,0.492,61.7,0.7,0.3,0,NA,NA,NA,NA,,
491,ACSA6,ACSA,Acer_saccharum,Canopy,Tree,01-08-2016,02-08-2016,Mont Bellevue,271898,5029039,GapF,NA,tophill,NA,0,NA,NA,NA,NA,NA,none,53,NA,2757.2,22.7,9.01,3.77,1.38,8.22,0,NA,18.61,82,263.56,0.0038,0.393,52.02,0.56,0.44,0,NA,NA,NA,NA,,
495,ACSA7,ACSA,Acer_saccharum,Canopy,Tree,01-08-2016,02-08-2016,Mont Bellevue,271898,5029039,GapF,NA,flat,NA,0,NA,NA,NA,NA,NA,none,30,NA,1592.5,19.6,8.79,3.09,1.05,4.15,0,NA,13.99,120.92,400.78,0.0062,0.434,53.08,0.7,0.3,0,NA,NA,NA,NA,,
220,ACSP1,ACSP,Acer_spicatum,Understory,Shrub,16-06-2016,17-06-2016,Mont Mégantic - Chalet,335267,5034868,GapF,yes,flat,NA,0,NA,NA,NA,NA,NA,none,15,NA,644.5,5.74,1.34,0,0,0.187,0,NA,1.527,101.92,452.78,0.0021,0.233,42.96,0.88,0.12,0,NA,NA,NA,NA,,
289,ACSP10,ACSP,Acer_spicatum,Understory,Shrub,22-06-2016,23-06-2016,Mont Mégantic - Chalet,335095,5034870,ClosedF,no,flat,NA,0,476,NA,NA,NA,NA,none,19,NA,697.9,5.9,1.19,0,0,0.161,0,NA,1.351,NA,NA,0.0017,0.202,36.73,0.88,0.12,0,NA,NA,NA,NA,,
322,ACSP11,ACSP,Acer_spicatum,Understory,Shrub,28-06-2016,29-06-2016,Mont Mégantic - Chalet,335259,5034357,GapF,NA,flat,NA,4,209,221,NA,NA,NA,none,21,NA,1239.2,10.4,2.95,2.28,0.496,1.63,0.677,NA,5.753,102.5,541.11,0.0028,0.272,59.01,0.6,0.28,0.12,NA,NA,NA,NA,,
521,ACSP12,ACSP,Acer_spicatum,Understory,Shrub,04-08-2016,05-08-2016,Johnville,284414,5025063,ClosedM,NA,midhill,NA,0,19,NA,NA,NA,NA,none,14,NA,NA,1.93,0.474,0.226,0.059,0.385,0,NA,0.9182,63.42,136.33,NA,0.247,NA,0.58,0.42,0,NA,NA,NA,NA,,
296,ACSP2,ACSP,Acer_spicatum,Understory,Shrub,22-06-2016,23-06-2016,Mont Mégantic - Chalet,335215,5034847,ClosedF,no,midhill,NA,0,187,NA,NA,NA,NA,none,17,NA,884,7.12,1.43,0,0,0.19,0,NA,1.62,NA,NA,0.0016,0.201,52,0.88,0.12,0,NA,NA,NA,NA,,
284,ACSP3,ACSP,Acer_spicatum,Understory,Shrub,22-06-2016,23-06-2016,Mont Mégantic - Chalet,335215,5034847,ClosedF,no,midhill,NA,0,274,NA,NA,NA,NA,none,29,NA,1214.8,10.6,2.12,0,0,3.43,0,NA,5.55,118.83,465.44,0.0017,0.2,41.89,0.38,0.62,0,NA,NA,NA,NA,,
280,ACSP4,ACSP,Acer_spicatum,Understory,Shrub,22-06-2016,23-06-2016,Mont Mégantic - Chalet,335215,5034847,ClosedF,no,midhill,NA,0,373,NA,NA,NA,NA,none,22,NA,748.6,6.39,1.26,0,0,2.11,0,NA,3.37,144.17,461.67,0.0017,0.197,34.03,0.37,0.63,0,NA,NA,NA,NA,,
278,ACSP5,ACSP,Acer_spicatum,Understory,Shrub,22-06-2016,23-06-2016,Mont Mégantic - Chalet,335215,5034847,ClosedF,no,tophill,NA,0,173,NA,NA,NA,NA,none,18,NA,853.7,7.1,1.46,0,0,1.84,0,NA,3.3,160.58,521.11,0.0017,0.206,47.43,0.44,0.56,0,NA,NA,NA,NA,,
279,ACSP6,ACSP,Acer_spicatum,Understory,Shrub,22-06-2016,23-06-2016,Mont Mégantic - Chalet,335215,5034847,ClosedF,no,tophill,NA,0,301,NA,NA,NA,NA,none,23,NA,1214.4,10,2.06,0,0,2.68,0,NA,4.74,142.75,572.67,0.0017,0.206,52.8,0.43,0.57,0,NA,NA,NA,NA,,
281,ACSP7,ACSP,Acer_spicatum,Understory,Shrub,22-06-2016,23-06-2016,Mont Mégantic - Chalet,335139,5034864,ClosedF,no,flat,NA,0,272,NA,NA,NA,NA,none,25,NA,1388.2,13,2.71,0,0,1.83,0,NA,4.54,152.33,549.22,0.002,0.208,55.53,0.6,0.4,0,NA,NA,NA,NA,,
287,ACSP8,ACSP,Acer_spicatum,Understory,Shrub,22-06-2016,23-06-2016,Mont Mégantic - Chalet,335139,5034864,GapF,no,flat,NA,0,495,NA,NA,NA,NA,none,20,NA,936.5,8.68,1.78,0,0,3.51,0,NA,5.29,132.33,460.89,0.0019,0.205,46.83,0.34,0.66,0,NA,NA,NA,NA,,
297,ACSP9,ACSP,Acer_spicatum,Understory,Shrub,22-06-2016,23-06-2016,Mont Mégantic - Chalet,335095,5034870,ClosedF,no,flat,NA,0,359,NA,NA,NA,NA,none,16,NA,729.7,5.68,1.29,0,0,0.168,0,NA,1.458,NA,NA,0.0018,0.227,45.61,0.88,0.12,0,NA,NA,NA,NA,,
135,ARNU1,ARNU,Aralia_nudicaulis,Understory,Forb,30-05-2016,31-05-2016,Johnville,285256,5024815,ClosedM,no,flat,19,0,32,NA,0,0,0,rhizome,13,NA,234.2,1.76,0.281,0,0,0.235,0,0.83,1.346,71.33,369.67,0.0012,0.16,18.01,0.21,0.17,0,0.62,NA,NA,0.49,Rhyzome coupé … l'embranchementé no fine roots,
153,ARNU2,ARNU,Aralia_nudicaulis,Understory,Forb,31-05-2016,01-06-2016,Johnville,285256,5024815,ClosedM,no,flat,7,0,24,NA,0/1,0,1,rhizome,15,NA,210,1.54,0.28,0,0,0.188,0,0.451,0.919,73.83,405.67,0.0013,0.182,14,0.3,0.2,0,0.49,0.5671,2.367321,0.49,,
151,ARNU3,ARNU,Aralia_nudicaulis,Understory,Forb,31-05-2016,01-06-2016,Johnville,285256,5024815,ClosedR,no,flat,25,0,34.5,NA,0,0,0,rhizome,13,NA,275.2,2.01,0.307,0,0,0.516,0,2.42,3.243,70.5,369.89,0.0011,0.153,21.17,0.09,0.16,0,0.75,NA,NA,0.49,,
140,ARNU4,ARNU,Aralia_nudicaulis,Understory,Forb,31-05-2016,01-06-2016,Johnville,285256,5024815,ClosedF,no,flat,3,0,42,NA,0,0,0,rhizome,16,NA,592.6,4.8,0.838,0,0,0.739,0,1.19,2.767,67.83,569.78,0.0014,0.175,37.04,0.3,0.27,0,0.43,0.7398,1.420711,0.49,Peu de fine rots,
159,ARNU5,ARNU,Aralia_nudicaulis,Understory,Forb,01-06-2016,02-06-2016,Johnville,284620,5024951,ClosedM,no,flat,17,0,28,NA,0,0,0,rhizome,14,NA,256.6,1.94,0.374,0,0,0.211,0,0.166,0.751,73.75,441.11,0.0015,0.193,18.33,0.5,0.28,0,0.22,0.5483,2.383666,0.49,,
156,ARNU6,ARNU,Aralia_nudicaulis,Understory,Forb,01-06-2016,02-06-2016,Johnville,284620,5024951,ClosedF,no,flat,12,0,47.5,NA,2,2,2,rhizome,20,NA,660.8,5.56,1.13,0,0,0.852,0,0.775,2.757,71.17,608.44,0.0017,0.203,33.04,0.41,0.31,0,0.28,0.3457,5.254593,0.49,,
157,ARNU7,ARNU,Aralia_nudicaulis,Understory,Forb,01-06-2016,02-06-2016,Johnville,284904,5024451,ClosedF,yes,tophill,15,0,26,NA,0,0,0,rhizome,14,NA,167.2,1.06,0.192,0,0,0.117,0,0.0145,0.3235,62.08,250.44,0.0011,0.181,11.94,0.59,0.36,0,0.04,0.4752,4.004658,0.49,,
161,ARNU8,ARNU,Aralia_nudicaulis,Understory,Forb,01-06-2016,02-06-2016,Johnville,284904,5024451,ClosedF,yes,tophill,10,0,14,NA,1,1,1,rhizome,9,NA,70,0.461,0.083,0,0,0.0652,0,0.228,0.376,70.08,235.56,0.0012,0.18,7.78,0.22,0.17,0,0.61,0.4861,2.612824,0.49,,
211,ARNU9,ARNU,Aralia_nudicaulis,Understory,Forb,13-06-2016,14-06-2016,Johnville,284629,5025109,ClosedM,no,flat,14,4,56,40,1,1,1,rhizome,15,NA,932,7.13,1.38,0,0,1.04,0.526,1.84,4.786,81.58,715.11,0.0015,0.194,62.13,0.29,0.22,0.11,0.38,NA,NA,0.49,"No fine roots, fruits immatures",
299,ARTR1,ARTR,Arisaema_triphyllum,Understory,Forb,27-06-2016,28-06-2016,Johnville,284318,5025126,ClosedF,no,flat,3,0,15.5,NA,4,4,4,bulb,3,NA,93.6,1.28,0.131,0,0,0.035,0,0.146,0.312,125,434.33,0.0014,0.102,31.19,0.42,0.11,0,0.47,0.6782,10.012966,0.84,,
298,ARTR2,ARTR,Arisaema_triphyllum,Understory,Forb,27-06-2016,28-06-2016,Johnville,284318,5025126,ClosedM,no,flat,9,0,15,NA,1/2,1,2,bulb,3,NA,70.3,0.98,0.097,0,0,0.033,0,0.068,0.1976,118.08,374,0.0014,0.099,23.44,0.49,0.17,0,0.34,0.6612,12.049444,0.84,,
305,ARTR3,ARTR,Arisaema_triphyllum,Understory,Forb,27-06-2016,28-06-2016,Johnville,284318,5025126,ClosedF,no,flat,0,0,10,NA,4,4,4,bulb,3,NA,73.7,1.46,0.114,0,0,0.028,0,0.168,0.31,122.42,530.89,0.0015,0.078,24.57,0.37,0.09,0,0.54,0.7171,8.383188,0.84,,
304,ARTR4,ARTR,Arisaema_triphyllum,Understory,Forb,27-06-2016,28-06-2016,Johnville,284318,5025126,ClosedF,no,midhill,6,3,31,11.5,4,4,4,bulb,3,NA,220.5,3.64,0.407,0,0,0.18,0.057,0.487,1.131,137.33,1009,0.0018,0.112,73.49,0.36,0.16,0.05,0.43,0.8753,7.622121,0.84,,
306,ARTR5,ARTR,Arisaema_triphyllum,Understory,Forb,27-06-2016,28-06-2016,Johnville,284318,5025126,ClosedF,no,flat,2,0,22.5,NA,4,4,4,bulb,3,NA,278.4,4.91,0.533,0,0,0.249,0,0.491,1.273,146.83,1275.56,0.0019,0.109,92.81,0.42,0.2,0,0.39,1.0773,4.091912,0.84,,
369,ARTR6,ARTR,Arisaema_triphyllum,Understory,Forb,04-07-2016,05-07-2016,Johnville,284320,5024114,ClosedF,yes,flat,4,0,13,NA,3,3,3,bulb,3,NA,85.7,1.35,0.135,0,0,0.0288,0,0.116,0.2798,136.5,571.33,0.0016,0.1,28.58,0.48,0.1,0,0.41,0.7474,8.623565,0.84,,
370,ARTR7,ARTR,Arisaema_triphyllum,Understory,Forb,04-07-2016,05-07-2016,Johnville,284280,5025089,ClosedM,no,flat,25,4,30,16,0,0,0,bulb,6,NA,477.7,8.57,0.941,0,0,0.578,0.789,0.941,3.249,139,1091.89,0.002,0.11,79.62,0.29,0.18,0.24,0.29,1.1024,3.785727,0.84,Fruits immatures,
367,ARTR8,ARTR,Arisaema_triphyllum,Understory,Forb,04-07-2016,05-07-2016,Johnville,284265,5025068,ClosedF,no,flat,25,0,22,NA,0,0,0,bulb,3,NA,268.9,4.56,0.526,0,0,0.22,0,0.914,1.66,124.92,1089.22,0.002,0.115,89.62,0.32,0.13,0,0.55,0.8843,4.926862,0.84,,
374,ARTR9,ARTR,Arisaema_triphyllum,Understory,Forb,05-07-2016,06-07-2016,Mont Bellevue,284259,5025029,ClosedF,no,flat,25,4,21,9,0,0,0,bulb,3,NA,175.4,3.08,0.356,0,0,0.165,0.306,0.586,1.413,136.92,893.89,0.002,0.116,58.47,0.25,0.12,0.22,0.41,0.8484,6.600598,0.84,Fruits immatures,
430,ATFI1,ATFI,Athyrium_filix_femina,Understory,Fern,14-07-2016,15-07-2016,Mont Bellevue,271463,5029564,ClosedF,no,flat,0,0,19.5,NA,4,4,4,rhizome,42,NA,136.5,1.29,0.231,0.196,0.033,0.0339,0,0,0.2977,74.33,144.33,0.0019,0.178,3.25,0.89,0.11,0,0,0.2309,7.731181,0.95,,
431,ATFI2,ATFI,Athyrium_filix_femina,Understory,Fern,14-07-2016,15-07-2016,Mont Bellevue,271463,5029564,ClosedF,no,flat,0,0,31,NA,4,4,4,rhizome,50,NA,281.9,2.31,0.482,0.697,0.108,0.0849,0,0,0.6749,63.75,123.78,0.0021,0.196,5.64,0.87,0.13,0,0,0.2979,5.221573,0.95,,
432,ATFI3,ATFI,Athyrium_filix_femina,Understory,Fern,14-07-2016,15-07-2016,Mont Bellevue,271463,5029564,ClosedF,no,flat,5,0,33.5,NA,3,3,3,rhizome,48,NA,199.1,1.69,0.323,0.547,0.082,0.0415,0,0,0.4463,66.7,143.38,0.002,0.181,4.15,0.91,0.09,0,0,0.2666,4.564734,0.95,,
433,ATFI4,ATFI,Athyrium_filix_femina,Understory,Fern,14-07-2016,15-07-2016,Mont Bellevue,271463,5029564,ClosedF,no,flat,0,0,36,NA,4,4,4,rhizome,52,NA,233.1,1.96,0.314,0.65,0.084,0.0812,0,0,0.4792,60.2,127.88,0.0017,0.152,4.48,0.83,0.17,0,0,0.1962,18.923117,0.95,,
427,ATFI5,ATFI,Athyrium_filix_femina,Understory,Fern,14-07-2016,15-07-2016,Mont Bellevue,271685,5029759,GapF,yes,tophill,0,0,37.5,NA,4,4,4,rhizome,50,NA,284.5,2.79,0.602,1.06,0.175,0.142,0,0,0.919,84.2,203.25,0.0027,0.202,5.69,0.85,0.15,0,0,0.2926,6.702913,0.95,,
426,ATFI6,ATFI,Athyrium_filix_femina,Understory,Fern,14-07-2016,15-07-2016,Mont Bellevue,271685,5029759,ClosedM,yes,flat,2,0,36,NA,3/4,3,4,rhizome,55,NA,204.2,1.52,0.236,0.484,0.065,0.0395,0,0,0.3406,50.42,98.44,0.0015,0.15,3.71,0.88,0.12,0,0,0.2538,10.666568,0.95,,
603,ATFI7,ATFI,Athyrium_filix_femina,Understory,Fern,18-08-2016,19-08-2016,Mont Bellevue,271547,5028994,ClosedF,no,flat,8,0,24.5,NA,3/4,3,4,rhizome,48,NA,449.5,1.92,0.299,0.568,0.087,0.137,0,0,0.5229,81.83,185.33,0.0009,0.155,9.36,0.74,0.26,0,0,NA,NA,0.95,,
183,BEAL1,BEAL,Betula_alleghaniensis,Canopy,Tree,06-06-2016,07-06-2016,Johnville,285106,5024358,ClosedM,no,flat,NA,0,NA,NA,NA,NA,NA,none,6,NA,252.1,3.32,0.948,0,0,0.0513,0,NA,0.9993,126.67,743,0.0038,0.286,42.01,0.95,0.05,0,NA,NA,NA,NA,,
642,BEAL10,BEAL,Betula_alleghaniensis,Canopy,Tree,06-09-2016,07-09-2016,Johnville,284581,5025000,OM,NA,flat,NA,7,NA,NA,NA,NA,NA,none,28,NA,1028,13,4.53,1.04,0.294,1.98,0,NA,6.804,128.83,607.33,0.0047,0.344,36.71,0.71,0.29,0,NA,NA,NA,NA,,
